Device_id,Move1,Intersection1,Move2,Intersection2,Move3,Intersection3,Move4,Intersection4,Move5,Intersection5
D1,"154,176",,"187,235",,"269,192",,"177,187",,"100,277",
D2,"559,386",,"581,421",,"501,394",D8:Wifi,"530,387",,"536,449",
D3,"244,466",,"253,507",,"229,434",,"284,456",,"217,368",
D4,"535,69",,"524,60",,"514,93",,"499,87",,"563,9",
D5,"79,273",,"107,182",,"98,208",,"98,233",,"150,217",
D6,"391,346",,"391,346",,"391,346",,"391,346",,"391,346",
D7,"360,52",,"360,52",,"360,52",,"360,52",,"360,52",
D8,"469,461",,"443,412",,"516,375",,"576,282",,"503,335",
