Device_id,Device_id_to,Device,Device_type,Device_mobility,Owner_id,Manufacturing_id,Application_id,Connectivity,X_GPS,Y_GPS,Intersection,Distance,Relation
D1,D2,0,1,1,0,0,9,1,48,101,0,215.03,0
D1,D3,0,1,1,0,0,9,1,48,101,0,355.03,0
D1,D4,0,1,1,0,0,9,1,48,101,0,469.66,0
D1,D5,0,1,1,0,0,9,1,48,101,0,459.03,0
D1,D6,0,1,1,0,0,9,1,48,101,0,385.62,3
D1,D7,0,1,1,0,0,9,1,48,101,0,161.61,3
D1,D8,0,1,1,0,0,9,1,48,101,0,319.92,3
D1,D9,0,1,1,0,0,9,1,48,101,0,138.76,3
D1,D10,0,1,1,0,0,9,1,48,101,0,337.64,3
D1,D11,0,1,1,0,0,9,1,48,101,0,614.86,4
D1,D12,0,1,1,0,0,9,1,48,101,0,617.82,4
D1,D13,0,1,1,0,0,9,1,48,101,0,328.71,3
D1,D14,0,1,1,0,0,9,0,48,101,0,109.59,0
D1,D15,0,1,1,0,0,9,0,48,101,0,552.82,0
D1,D16,0,1,1,0,0,9,0,48,101,0,740.18,0
D1,D17,0,1,1,0,0,9,1,48,101,0,338.39,0
D1,D18,0,1,1,0,0,9,1,48,101,0,119.08,0
D1,D19,0,1,1,0,0,9,1,48,101,0,114.04,3
D1,D20,0,1,1,0,0,9,1,48,101,0,359.09,3
D1,D21,0,1,1,0,0,9,1,48,101,0,482.35,4
D1,D22,0,1,1,0,0,9,1,48,101,0,580.93,4
D1,D23,0,1,1,0,0,9,1,48,101,0,434.73,4
D1,D24,0,1,1,0,0,9,1,48,101,0,321.4,3
D1,D25,0,1,1,0,0,9,0,48,101,0,562.39,0
D1,D26,0,1,1,0,0,9,0,48,101,0,789.88,0
D1,D27,0,1,1,0,0,9,0,48,101,0,541.67,0
D2,D1,0,1,1,0,0,11,1,260,65,0,215.03,0
D2,D3,0,1,1,0,0,11,1,260,65,0,275.54,0
D2,D4,0,1,1,0,1,11,1,260,65,0,289.28,0
D2,D5,0,1,1,0,0,11,1,260,65,0,266.56,0
D2,D6,0,1,1,0,0,11,1,260,65,0,417.16,4
D2,D7,0,1,1,0,0,11,1,260,65,1,59.44,3
D2,D8,0,1,1,0,0,11,1,260,65,0,226.37,3
D2,D9,0,1,1,0,0,11,1,260,65,0,256.96,3
D2,D10,0,1,1,0,0,11,1,260,65,0,378.54,3
