Device_id,Device_id_to,Device,Device_type,Device_mobility,Owner_id,Manufacturing_id,Application_id,Connectivity,X_GPS,Y_GPS,Intersection,Distance,Relation
D1,D2,0,1,1,0,0,23,1,242,176,0,494.29,0
D1,D3,0,1,1,0,0,23,1,242,176,0,500.15,0
D1,D4,0,1,1,0,0,23,1,242,176,0,313.77,0
D1,D5,0,1,1,0,0,23,1,242,176,0,214.25,0
D1,D6,0,1,1,0,0,23,1,242,176,1,101.18,3
D1,D7,0,1,1,0,0,23,1,242,176,0,358.78,3
D1,D8,0,1,1,0,0,23,1,242,176,0,300.52,3
D1,D9,0,1,1,0,0,23,1,242,176,0,463.9,4
D2,D1,0,1,1,0,0,5,1,572,544,0,494.29,0
D2,D3,0,1,1,0,0,5,1,572,544,1,62.24,6
D2,D4,0,1,1,0,0,5,1,572,544,0,508.54,0
D2,D5,0,1,1,0,0,5,1,572,544,0,464.46,0
D2,D6,0,1,1,0,0,5,1,572,544,0,428.35,4
D2,D7,0,1,1,0,0,5,1,572,544,0,185.31,3
D2,D8,0,1,1,0,0,5,1,572,544,0,563.73,4
D2,D9,0,1,1,0,0,5,1,572,544,4,36.5,5
D3,D1,0,1,1,0,0,22,1,527,587,0,500.15,0
D3,D2,0,1,1,0,0,22,1,527,587,0,62.24,0
D3,D4,0,1,1,0,0,22,1,527,587,0,475.95,0
D3,D5,0,1,1,1,0,22,1,527,587,0,443.05,0
D3,D6,0,1,1,0,0,22,1,527,587,0,444.84,4
D3,D7,0,1,1,0,0,22,1,527,587,0,228.16,3
D3,D8,0,1,1,0,0,22,1,527,587,0,534.99,4
D3,D9,0,1,1,0,0,22,1,527,587,0,88.1,3
D4,D1,0,1,1,0,0,25,1,74,441,0,313.77,0
D4,D2,0,1,1,0,0,25,1,74,441,0,508.54,0
D4,D3,0,1,1,0,0,25,1,74,441,0,475.95,0
D4,D5,0,1,1,0,0,25,1,74,441,3,101.91,2
D4,D6,0,1,1,0,0,25,1,74,441,0,373.42,3
D4,D7,0,1,1,0,0,25,1,74,441,0,482.84,4
D4,D8,0,1,1,0,0,25,1,74,441,1,68.12,3
D4,D9,0,1,1,0,0,25,1,74,441,0,496.54,4
D5,D1,0,1,1,0,0,23,1,143,366,0,214.25,0
D5,D2,0,1,1,0,0,23,1,143,366,0,464.46,0
D5,D3,0,1,1,0,0,23,1,143,366,0,443.05,0
D5,D4,0,1,1,0,0,23,1,143,366,0,101.91,0
D5,D6,0,1,1,0,0,23,1,143,366,0,271.76,3
D5,D7,0,1,1,0,0,23,1,143,366,0,407.04,4
D5,D8,0,1,1,0,0,23,1,143,366,0,115.32,3
D5,D9,0,1,1,0,0,23,1,143,366,0,446.2,4
D6,D1,1,1,1,0,0,24,1,343,182,0,101.18,3
D6,D2,1,1,1,0,0,24,1,343,182,0,428.35,4
D6,D3,1,1,1,0,0,24,1,343,182,0,444.84,4
D6,D4,1,1,1,0,0,24,1,343,182,0,373.42,3
D6,D5,1,1,1,0,0,24,1,343,182,0,271.76,3
D6,D7,1,1,1,0,0,24,1,343,182,0,273.01,0
D6,D8,1,1,1,0,0,24,1,343,182,0,375.26,0
D6,D9,1,1,1,0,0,24,1,343,182,0,394.97,0
D7,D1,1,1,1,0,0,3,1,550,360,0,358.78,3
D7,D2,1,1,1,0,0,3,1,550,360,0,185.31,3
D7,D3,1,1,1,0,0,3,1,550,360,0,228.16,3
D7,D4,1,1,1,0,0,3,1,550,360,0,482.84,4
D7,D5,1,1,1,0,0,3,1,550,360,0,407.04,4
D7,D6,1,1,1,0,0,3,1,550,360,0,273.01,0
D7,D8,1,1,1,0,0,3,1,550,360,0,520.81,0
D7,D9,1,1,1,0,0,3,1,550,360,0,148.86,0
D8,D1,1,1,1,0,0,6,1,30,389,0,300.52,3
D8,D2,1,1,1,0,0,6,1,30,389,0,563.73,4
D8,D3,1,1,1,0,0,6,1,30,389,0,534.99,4
D8,D4,1,1,1,0,0,6,1,30,389,0,68.12,3
D8,D5,1,1,1,0,0,6,1,30,389,0,115.32,3
D8,D6,1,1,1,0,0,6,1,30,389,0,375.26,0
D8,D7,1,1,1,0,0,6,1,30,389,0,520.81,0
D8,D9,1,1,1,0,0,6,1,30,389,0,549.05,0
D9,D1,1,1,1,0,0,1,1,566,508,0,463.9,4
D9,D2,1,1,1,0,0,1,1,566,508,0,36.5,3
D9,D3,1,1,1,0,0,1,1,566,508,0,88.1,3
D9,D4,1,1,1,0,0,1,1,566,508,0,496.54,4
D9,D5,1,1,1,0,0,1,1,566,508,0,446.2,4
D9,D6,1,1,1,0,0,1,1,566,508,0,394.97,0
D9,D7,1,1,1,0,0,1,1,566,508,0,148.86,0
D9,D8,1,1,1,0,0,1,1,566,508,0,549.05,0
