Device_id,Move1,Intersection1,Move2,Intersection2,Move3,Intersection3,Move4,Intersection4,Move5,Intersection5
D1,"223,137",,"160,90",,"253,174",,"220,149",D6:Wifi,"242,176",
D2,"485,403",,"577,368","D9:Wifi,D9:GSM","594,441","D9:Wifi,D9:Bluetooth,D9:GSM","588,520","D9:Wifi,D9:GSM","572,544","D3:Wifi,D9:Wifi,D9:Bluetooth,D9:GSM"
D3,"576,608",,"527,654",,"487,615",,"461,570",,"527,587",
D4,"84,537",D5:Wifi,"41,461","D5:Wifi,D5:Bluetooth,D5:GSM","24,464","D5:Wifi,D5:Bluetooth,D5:GSM","67,538",,"74,441",D8:Wifi
D5,"68,462",,"55,432",,"63,472",,"107,421",,"143,366",
D6,"313,90",,"319,34",,"241,91",,"277,172",,"343,182",
D7,"562,291",,"487,342",,"516,255",,"562,292",,"550,360",
D8,"99,384",,"34,312",,"17,315",,"11,365",,"30,389",
D9,"603,488",,"582,427",,"616,430",,"587,475",,"566,508",
